Model,Train_R2,Test_R2,Overfit_Gap,MAE,MSE,RMSE,Median_AE,MAPE,CV_R2_Mean,CV_R2_Std
Random Forest,0.9874216656625099,0.9839218871797122,0.0034997784827976997,9.501050840842902,14307.41477682621,119.61360615258705,0.5534933403648212,675.7423471248022,0.9613413573870915,0.029455663705192404
Extra Trees,0.9870915816281906,0.9852214287744994,0.0018701528536911871,9.572162177901934,13150.992948954941,114.67777879325594,0.5674615,140.18718981471244,0.9723579435061118,0.01582959486293764
Gradient Boosting,0.9944682259002564,0.9815672339048609,0.012900991995395517,12.053644497114258,16402.747819669425,128.07321273267655,0.9922784345802098,1386.3076768312822,0.961654876395752,0.018985246380355984
